SampleID,Problem,Solution
0,Solve for x: x*x = (4),x = -2 or x = 2
1,Solve for x: (5)*x + (17) = (10),x = -7/5
2,(-25) + (-24) + (-23) + (19),The result of (-25) + (-24) + (-23) + (19) is -53.
3,(4) + (-5) + (-1),The result of (4) + (-5) + (-1) is -2.
4,Solve for x: (7)*x + (20) = (46),x = 26/7
5,Solve for x: x*x = (4),x = -2 or x = 2
6,Solve for x: (2)*x + (-1) = (100),x = 101/2
7,Solve for x: (2)*x + (17) = (72),x = 55/2
8,Solve for x: x + (6) = (-3),x = -9
9,Solve for x: x + (12) = (-7),x = -19
10,(26) + (-4) + (11) + (16) + (-14),The result of (26) + (-4) + (11) + (16) + (-14) is 35.
11,Solve for x: x + (16) = (-1),x = -17
12,Solve for x: (7)*x + (-15) = (53),x = 68/7
13,Solve for x: x*x = (49),x = -7 or x = 7
14,Solve for x: x*x = (36),x = -6 or x = 6
15,Solve for x: x*x = (36),x = -6 or x = 6
16,(31) / (29),The result of (31) / (29) is 1.0689655172413792.
17,(3) + (20) + (23) + (22),The result of (3) + (20) + (23) + (22) is 68.
18,Solve for x: (5)*x + (-9) = (77),x = 86/5
19,(0) + (4) + (7),The result of (0) + (4) + (7) is 11.
20,Solve for x: x + (17) = (-7),x = -24
21,(20) * (-32),The result of (20) * (-32) is -640.
22,Solve for x: (2)*x + (-5) = (11),x = 8
23,Solve for x: (3)*x + (4) = (44),x = 40/3
24,(-10) + (2) + (-6) + (-16) + (6),The result of (-10) + (2) + (-6) + (-16) + (6) is -24.
25,(8) + (-30) + (-22),The result of (8) + (-30) + (-22) is -44.
26,Solve for x: x*x = (1),x = -1 or x = 1
27,Solve for x: (6)*x + (11) = (71),x = 10
28,(2) + (-12) + (0) + (-17) + (-25),The result of (2) + (-12) + (0) + (-17) + (-25) is -52.
29,(-26) + (-28) + (-28) + (-29),The result of (-26) + (-28) + (-28) + (-29) is -111.
30,Solve for x: (3)*x + (17) = (-1),x = -6
31,(-23) + (-2) + (17) + (28),The result of (-23) + (-2) + (17) + (28) is 20.
32,Solve for x: (1)*x + (17) = (57),x = 40
33,(1) + (-17),The result of (1) + (-17) is -16.
34,Solve for x: (6)*x + (8) = (-12),x = -10/3
35,Solve for x: (3)*x + (-4) = (40),x = 44/3
36,Solve for x: (7)*x = (42),x = 6
37,Solve for x: x*x = (16),x = -4 or x = 4
38,Solve for x: (6)*x = (22),x = 11/3
39,Solve for x: (8)*x + (-11) = (70),x = 81/8
40,(7) * (-32),The result of (7) * (-32) is -224.
41,Solve for x: (5)*x + (10) = (55),x = 9
42,Solve for x: x + (19) = (-14),x = -33
43,(50) / (33),The result of (50) / (33) is 1.5151515151515151.
44,Solve for x: (1)*x + (-10) = (-5),x = 5
45,(11) / (37),The result of (11) / (37) is 0.2972972972972973.
46,Solve for x: x + (15) = (19),x = 4
47,Solve for x: x*x = (1),x = -1 or x = 1
48,(-15) + (26) + (26) + (12),The result of (-15) + (26) + (26) + (12) is 49.
49,(-16) + (-5) + (17) + (-20),The result of (-16) + (-5) + (17) + (-20) is -24.
50,Solve for x: (1)*x + (16) = (19),x = 3
51,Solve for x: x*x = (36),x = -6 or x = 6
52,Solve for x: (9)*x + (19) = (93),x = 74/9
53,Solve for x: x*x = (16),x = -4 or x = 4
54,Solve for x: (1)*x + (-6) = (84),x = 90
55,Solve for x: x*x = (36),x = -6 or x = 6
56,Solve for x: (10)*x + (-4) = (92),x = 48/5
57,Solve for x: (8)*x + (7) = (90),x = 83/8
58,Solve for x: x*x = (16),x = -4 or x = 4
59,(10) + (-28) + (-16),The result of (10) + (-28) + (-16) is -34.
60,Solve for x: x*x = (36),x = -6 or x = 6
61,Solve for x: x + (-13) = (-5),x = 8
62,Solve for x: (12)*x = (39),x = 13/4
63,Solve for x: x*x = (49),x = -7 or x = 7
64,Solve for x: x + (7) = (16),x = 9
65,Solve for x: (8)*x + (-3) = (88),x = 91/8
66,Solve for x: (4)*x = (-14),x = -7/2
67,Solve for x: (14)*x = (91),x = 13/2
68,(-22) + (21) + (13) + (28) + (-22),The result of (-22) + (21) + (13) + (28) + (-22) is 18.
69,Solve for x: x*x = (64),x = -8 or x = 8
70,Solve for x: (10)*x + (-7) = (27),x = 17/5
71,(14) / (42),The result of (14) / (42) is 0.3333333333333333.
72,Solve for x: (5)*x = (37),x = 37/5
73,Solve for x: (3)*x + (3) = (4),x = 1/3
74,(12) + (4),The result of (12) + (4) is 16.
75,Solve for x: (5)*x + (3) = (38),x = 7
76,(31) - (2),The result of (31) - (2) is 29.
77,(3) + (-18) + (9) + (1) + (-3),The result of (3) + (-18) + (9) + (1) + (-3) is -8.
78,Solve for x: (7)*x = (31),x = 31/7
79,Solve for x: (10)*x + (19) = (75),x = 28/5
80,(49) / (11),The result of (49) / (11) is 4.454545454545454.
81,(9) / (34),The result of (9) / (34) is 0.2647058823529412.
82,(2) / (24),The result of (2) / (24) is 0.08333333333333333.
83,Solve for x: x*x = (16),x = -4 or x = 4
84,Solve for x: (9)*x + (-1) = (9),x = 10/9
85,(-1) + (12) + (-6),The result of (-1) + (12) + (-6) is 5.
86,(9) + (15) + (24) + (-14),The result of (9) + (15) + (24) + (-14) is 34.
87,Solve for x: (15)*x = (-62),x = -62/15
88,(12) + (-20) + (10) + (-19) + (23),The result of (12) + (-20) + (10) + (-19) + (23) is 6.
89,(17) * (28),The result of (17) * (28) is 476.
90,Solve for x: x*x = (81),x = -9 or x = 9
91,(4) + (25) + (9) + (26) + (-15),The result of (4) + (25) + (9) + (26) + (-15) is 49.
92,Solve for x: x*x = (1),x = -1 or x = 1
93,Solve for x: x*x = (36),x = -6 or x = 6
94,(-17) + (-16) + (-2) + (15),The result of (-17) + (-16) + (-2) + (15) is -20.
95,Solve for x: (1)*x + (2) = (13),x = 11
96,(5) + (-10) + (-30) + (-28),The result of (5) + (-10) + (-30) + (-28) is -63.
97,(7) + (-17),The result of (7) + (-17) is -10.
98,Solve for x: (1)*x + (-19) = (-10),x = 9
99,Solve for x: x*x = (36),x = -6 or x = 6
100,Solve for x: (5)*x = (17),x = 17/5
101,(9) * (-44),The result of (9) * (-44) is -396.
102,Solve for x: (9)*x + (2) = (36),x = 34/9
103,(28) + (-8) + (21) + (-19),The result of (28) + (-8) + (21) + (-19) is 22.
104,(21) - (-42),The result of (21) - (-42) is 63.
105,(1) + (29),The result of (1) + (29) is 30.
106,Solve for x: (3)*x = (19),x = 19/3
107,(-17) + (25) + (26),The result of (-17) + (25) + (26) is 34.
108,(16) + (-19) + (29) + (-21),The result of (16) + (-19) + (29) + (-21) is 5.
109,(9) * (49),The result of (9) * (49) is 441.
110,Solve for x: x*x = (25),x = -5 or x = 5
111,Solve for x: x*x = (16),x = -4 or x = 4
112,Solve for x: x*x = (64),x = -8 or x = 8
113,Solve for x: x*x = (1),x = -1 or x = 1
114,(22) * (-47),The result of (22) * (-47) is -1034.
115,Solve for x: (9)*x + (19) = (-2),x = -7/3
116,(15) + (-19),The result of (15) + (-19) is -4.
117,Solve for x: x*x = (1),x = -1 or x = 1
118,Solve for x: x*x = (25),x = -5 or x = 5
119,Solve for x: x + (7) = (9),x = 2
120,(32) - (-36),The result of (32) - (-36) is 68.
121,(11) / (31),The result of (11) / (31) is 0.3548387096774194.
122,Solve for x: (9)*x + (-5) = (23),x = 28/9
123,Solve for x: x*x = (25),x = -5 or x = 5
124,Solve for x: (1)*x = (-83),x = -83
125,(5) + (0) + (-14) + (-5) + (-27),The result of (5) + (0) + (-14) + (-5) + (-27) is -41.
126,(31) / (8),The result of (31) / (8) is 3.875.
127,(3) / (28),The result of (3) / (28) is 0.10714285714285714.
128,Solve for x: (9)*x + (-19) = (14),x = 11/3
129,(-3) + (-22) + (4) + (-26),The result of (-3) + (-22) + (4) + (-26) is -47.
130,(42) * (46),The result of (42) * (46) is 1932.
131,(-30) + (-9) + (1) + (11) + (16),The result of (-30) + (-9) + (1) + (11) + (16) is -11.
132,Solve for x: (10)*x = (-35),x = -7/2
133,Solve for x: x*x = (4),x = -2 or x = 2
134,Solve for x: (11)*x = (-2),x = -2/11
135,Solve for x: (20)*x = (-64),x = -16/5
136,Solve for x: x*x = (81),x = -9 or x = 9
137,Solve for x: x*x = (49),x = -7 or x = 7
138,Solve for x: x*x = (36),x = -6 or x = 6
139,Solve for x: (8)*x = (-37),x = -37/8
140,(-19) + (3) + (-4) + (-10) + (-28),The result of (-19) + (3) + (-4) + (-10) + (-28) is -58.
141,(4) + (20) + (21) + (-18) + (-6),The result of (4) + (20) + (21) + (-18) + (-6) is 21.
142,Solve for x: x*x = (36),x = -6 or x = 6
143,Solve for x: x + (-20) = (1),x = 21
144,(28) / (42),The result of (28) / (42) is 0.6666666666666666.
145,(-26) + (12) + (-1) + (-6),The result of (-26) + (12) + (-1) + (-6) is -21.
146,Solve for x: x + (12) = (-18),x = -30
147,Solve for x: (13)*x = (94),x = 94/13
148,Solve for x: x*x = (9),x = -3 or x = 3
149,Solve for x: x*x = (1),x = -1 or x = 1
150,Solve for x: (7)*x = (76),x = 76/7
151,Solve for x: (13)*x = (65),x = 5
152,(-21) + (6) + (21),The result of (-21) + (6) + (21) is 6.
153,(-18) + (-12) + (-3) + (-12) + (14),The result of (-18) + (-12) + (-3) + (-12) + (14) is -31.
154,Solve for x: (8)*x + (16) = (34),x = 9/4
155,(5) * (-21),The result of (5) * (-21) is -105.
156,(17) + (10) + (-13) + (-11),The result of (17) + (10) + (-13) + (-11) is 3.
157,Solve for x: x + (-1) = (19),x = 20
158,Solve for x: (9)*x + (-8) = (28),x = 4
159,(12) + (-34),The result of (12) + (-34) is -22.
160,Solve for x: x*x = (4),x = -2 or x = 2
161,(-22) + (3) + (-1) + (3) + (-23),The result of (-22) + (3) + (-1) + (3) + (-23) is -40.
162,Solve for x: (17)*x = (84),x = 84/17
163,(10) + (3) + (27) + (30),The result of (10) + (3) + (27) + (30) is 70.
164,(-10) + (-2) + (24) + (12) + (-8),The result of (-10) + (-2) + (24) + (12) + (-8) is 16.
165,(11) + (-4) + (-20) + (12),The result of (11) + (-4) + (-20) + (12) is -1.
166,Solve for x: x*x = (1),x = -1 or x = 1
167,Solve for x: (7)*x + (-4) = (96),x = 100/7
168,Solve for x: (6)*x + (8) = (85),x = 77/6
169,Solve for x: x*x = (9),x = -3 or x = 3
170,Solve for x: (9)*x + (19) = (34),x = 5/3
171,Solve for x: (8)*x + (4) = (8),x = 1/2
172,(28) / (8),The result of (28) / (8) is 3.5.
173,(43) * (26),The result of (43) * (26) is 1118.
174,(13) + (26) + (-10) + (20) + (8),The result of (13) + (26) + (-10) + (20) + (8) is 57.
175,Solve for x: x + (-9) = (-19),x = -10
176,(10) + (3) + (-28),The result of (10) + (3) + (-28) is -15.
177,Solve for x: (1)*x + (-18) = (-16),x = 2
178,(18) + (8) + (-29) + (-27) + (-30),The result of (18) + (8) + (-29) + (-27) + (-30) is -60.
179,Solve for x: (8)*x + (-9) = (65),x = 37/4
180,Solve for x: x*x = (1),x = -1 or x = 1
181,Solve for x: x*x = (4),x = -2 or x = 2
182,(13) + (16) + (-6) + (10) + (-22),The result of (13) + (16) + (-6) + (10) + (-22) is 11.
183,Solve for x: x*x = (25),x = -5 or x = 5
184,(2) + (16) + (-24) + (8),The result of (2) + (16) + (-24) + (8) is 2.
185,Solve for x: x*x = (16),x = -4 or x = 4
186,Solve for x: x*x = (16),x = -4 or x = 4
187,Solve for x: x*x = (64),x = -8 or x = 8
188,Solve for x: x*x = (1),x = -1 or x = 1
189,Solve for x: x + (-5) = (-14),x = -9
190,Solve for x: (10)*x = (-15),x = -3/2
191,(10) + (-9) + (-25) + (12) + (-6),The result of (10) + (-9) + (-25) + (12) + (-6) is -18.
192,(-29) + (-20) + (-29) + (-6) + (28),The result of (-29) + (-20) + (-29) + (-6) + (28) is -56.
193,Solve for x: x*x = (9),x = -3 or x = 3
194,Solve for x: x*x = (9),x = -3 or x = 3
195,Solve for x: x + (-4) = (7),x = 11
196,(50) - (43),The result of (50) - (43) is 7.
197,(8) + (-10),The result of (8) + (-10) is -2.
198,(5) / (37),The result of (5) / (37) is 0.13513513513513514.
199,(46) * (-34),The result of (46) * (-34) is -1564.
200,(18) + (-20) + (-24) + (-5),The result of (18) + (-20) + (-24) + (-5) is -31.
201,(14) + (-8),The result of (14) + (-8) is 6.
202,(50) - (-11),The result of (50) - (-11) is 61.
203,Solve for x: (7)*x = (45),x = 45/7
204,(9) + (-15) + (29) + (15),The result of (9) + (-15) + (29) + (15) is 38.
205,Solve for x: (3)*x + (-14) = (42),x = 56/3
206,Solve for x: (7)*x + (0) = (-14),x = -2
207,Solve for x: (10)*x + (-8) = (42),x = 5
208,(-6) + (3) + (6),The result of (-6) + (3) + (6) is 3.
209,Solve for x: (4)*x + (5) = (35),x = 15/2
210,(44) / (28),The result of (44) / (28) is 1.5714285714285714.
211,Solve for x: (3)*x = (-8),x = -8/3
212,(35) + (26),The result of (35) + (26) is 61.
213,(39) / (27),The result of (39) / (27) is 1.4444444444444444.
214,Solve for x: x*x = (9),x = -3 or x = 3
215,Solve for x: (10)*x + (-10) = (19),x = 29/10
216,Solve for x: (10)*x + (-18) = (14),x = 16/5
217,Solve for x: (15)*x = (23),x = 23/15
218,(21) + (-21) + (21) + (-25) + (-19),The result of (21) + (-21) + (21) + (-25) + (-19) is -23.
219,(5) + (-23) + (-15),The result of (5) + (-23) + (-15) is -33.
220,Solve for x: x*x = (36),x = -6 or x = 6
221,Solve for x: (3)*x + (4) = (70),x = 22
222,Solve for x: x + (-19) = (-19),x = 0
223,Solve for x: x*x = (9),x = -3 or x = 3
224,(44) / (49),The result of (44) / (49) is 0.8979591836734694.
225,Solve for x: (10)*x = (-78),x = -39/5
226,(-12) + (-22) + (-22) + (-27),The result of (-12) + (-22) + (-22) + (-27) is -83.
227,Solve for x: (12)*x = (-59),x = -59/12
228,(9) / (39),The result of (9) / (39) is 0.23076923076923078.
229,(41) + (-37),The result of (41) + (-37) is 4.
230,Solve for x: x + (12) = (18),x = 6
231,(25) + (-34),The result of (25) + (-34) is -9.
232,(23) + (-13) + (-10) + (-24),The result of (23) + (-13) + (-10) + (-24) is -24.
233,Solve for x: x*x = (64),x = -8 or x = 8
234,Solve for x: x*x = (25),x = -5 or x = 5
235,Solve for x: (14)*x = (-67),x = -67/14
236,Solve for x: x*x = (49),x = -7 or x = 7
237,Solve for x: x*x = (4),x = -2 or x = 2
238,(-13) + (26) + (-14) + (-2) + (28),The result of (-13) + (26) + (-14) + (-2) + (28) is 25.
239,(24) + (1) + (-4) + (-4),The result of (24) + (1) + (-4) + (-4) is 17.
240,Solve for x: (18)*x = (-55),x = -55/18
241,Solve for x: x*x = (64),x = -8 or x = 8
242,(17) + (0) + (28) + (-25),The result of (17) + (0) + (28) + (-25) is 20.
243,Solve for x: (4)*x + (13) = (61),x = 12
244,(11) - (-18),The result of (11) - (-18) is 29.
245,(-5) + (-6) + (11) + (-18) + (-17),The result of (-5) + (-6) + (11) + (-18) + (-17) is -35.
246,(18) + (7) + (1),The result of (18) + (7) + (1) is 26.
247,Solve for x: x + (-2) = (7),x = 9
248,Solve for x: (4)*x + (18) = (55),x = 37/4
249,Solve for x: (1)*x = (29),x = 29
250,Solve for x: x + (-19) = (-13),x = 6
251,Solve for x: x*x = (1),x = -1 or x = 1
252,Solve for x: x*x = (9),x = -3 or x = 3
253,(4) - (-23),The result of (4) - (-23) is 27.
254,Solve for x: (6)*x + (15) = (-4),x = -19/6
255,Solve for x: x*x = (36),x = -6 or x = 6
256,Solve for x: x*x = (36),x = -6 or x = 6
257,(8) * (47),The result of (8) * (47) is 376.
258,Solve for x: (6)*x + (-5) = (-17),x = -2
259,(44) * (36),The result of (44) * (36) is 1584.
260,(9) + (31),The result of (9) + (31) is 40.
261,Solve for x: (1)*x + (-7) = (7),x = 14
262,Solve for x: x + (9) = (-9),x = -18
263,Solve for x: (6)*x = (-100),x = -50/3
264,Solve for x: (6)*x + (12) = (0),x = -2
265,(7) + (-28) + (1) + (9),The result of (7) + (-28) + (1) + (9) is -11.
266,Solve for x: (1)*x + (16) = (28),x = 12
267,Solve for x: x*x = (64),x = -8 or x = 8
268,Solve for x: x*x = (25),x = -5 or x = 5
269,Solve for x: x*x = (1),x = -1 or x = 1
270,(-18) + (-1) + (8),The result of (-18) + (-1) + (8) is -11.
271,(10) / (1),The result of (10) / (1) is 10.0.
272,(20) * (-42),The result of (20) * (-42) is -840.
273,(20) + (28) + (28),The result of (20) + (28) + (28) is 76.
274,Solve for x: x*x = (36),x = -6 or x = 6
275,Solve for x: x + (-6) = (12),x = 18
276,(22) + (-22) + (-17) + (6) + (24),The result of (22) + (-22) + (-17) + (6) + (24) is 13.
277,Solve for x: (3)*x + (11) = (71),x = 20
278,(-10) + (18) + (28) + (17),The result of (-10) + (18) + (28) + (17) is 53.
279,(6) / (13),The result of (6) / (13) is 0.46153846153846156.
280,(15) + (27) + (2) + (8) + (-11),The result of (15) + (27) + (2) + (8) + (-11) is 41.
281,(40) + (-38),The result of (40) + (-38) is 2.
282,(13) - (21),The result of (13) - (21) is -8.
283,Solve for x: x + (-17) = (14),x = 31
284,Solve for x: (10)*x + (-14) = (88),x = 51/5
285,Solve for x: (3)*x = (9),x = 3
286,(-17) + (12) + (26),The result of (-17) + (12) + (26) is 21.
287,Solve for x: (7)*x + (-12) = (70),x = 82/7
288,Solve for x: (9)*x + (0) = (90),x = 10
289,Solve for x: (5)*x = (2),x = 2/5
290,Solve for x: (10)*x = (-93),x = -93/10
291,(30) / (48),The result of (30) / (48) is 0.625.
292,Solve for x: x + (-18) = (-16),x = 2
293,Solve for x: x*x = (16),x = -4 or x = 4
294,Solve for x: (12)*x = (30),x = 5/2
295,Solve for x: (3)*x = (-58),x = -58/3
296,(24) - (9),The result of (24) - (9) is 15.
297,(-1) + (18) + (26),The result of (-1) + (18) + (26) is 43.
298,(43) + (-19),The result of (43) + (-19) is 24.
299,Solve for x: (1)*x + (-17) = (73),x = 90
300,(11) + (39),The result of (11) + (39) is 50.
301,Solve for x: (12)*x = (11),x = 11/12
302,Solve for x: (4)*x = (-46),x = -23/2
303,Solve for x: x*x = (1),x = -1 or x = 1
304,(-20) + (-20) + (10),The result of (-20) + (-20) + (10) is -30.
305,Solve for x: x*x = (64),x = -8 or x = 8
306,(16) + (-15) + (-23) + (-5) + (17),The result of (16) + (-15) + (-23) + (-5) + (17) is -10.
307,Solve for x: x + (12) = (-13),x = -25
308,(-9) + (25) + (-29),The result of (-9) + (25) + (-29) is -13.
309,Solve for x: x*x = (16),x = -4 or x = 4
310,Solve for x: x*x = (49),x = -7 or x = 7
311,(5) + (-4) + (8) + (-18) + (30),The result of (5) + (-4) + (8) + (-18) + (30) is 21.
312,Solve for x: (3)*x + (7) = (94),x = 29
313,(20) / (6),The result of (20) / (6) is 3.3333333333333335.
314,(-27) + (-14) + (10) + (-13),The result of (-27) + (-14) + (10) + (-13) is -44.
315,(-28) + (8) + (0),The result of (-28) + (8) + (0) is -20.
316,Solve for x: x*x = (81),x = -9 or x = 9
317,(24) + (2) + (-12) + (-15) + (-20),The result of (24) + (2) + (-12) + (-15) + (-20) is -21.
318,Solve for x: (13)*x = (99),x = 99/13
319,(-30) + (18) + (3) + (5) + (5),The result of (-30) + (18) + (3) + (5) + (5) is 1.
320,Solve for x: x + (-10) = (-19),x = -9
321,(14) + (-2) + (14),The result of (14) + (-2) + (14) is 26.
322,(42) + (50),The result of (42) + (50) is 92.
323,Solve for x: x*x = (100),x = -10 or x = 10
324,Solve for x: x*x = (81),x = -9 or x = 9
325,Solve for x: x + (5) = (1),x = -4
326,(3) * (25),The result of (3) * (25) is 75.
327,Solve for x: (1)*x + (7) = (65),x = 58
328,(5) + (8) + (10) + (-20),The result of (5) + (8) + (10) + (-20) is 3.
329,Solve for x: x*x = (49),x = -7 or x = 7
330,(14) + (-12) + (17) + (21),The result of (14) + (-12) + (17) + (21) is 40.
331,(38) / (47),The result of (38) / (47) is 0.8085106382978723.
332,(27) - (-39),The result of (27) - (-39) is 66.
333,(32) + (-19),The result of (32) + (-19) is 13.
334,(50) / (25),The result of (50) / (25) is 2.0.
335,Solve for x: x*x = (25),x = -5 or x = 5
336,(3) + (17) + (10) + (-6),The result of (3) + (17) + (10) + (-6) is 24.
337,Solve for x: x*x = (1),x = -1 or x = 1
338,(37) / (31),The result of (37) / (31) is 1.1935483870967742.
339,Solve for x: x*x = (64),x = -8 or x = 8
340,Solve for x: (3)*x + (16) = (55),x = 13
341,Solve for x: x*x = (36),x = -6 or x = 6
342,Solve for x: (6)*x + (8) = (75),x = 67/6
343,(-30) + (0) + (19) + (7),The result of (-30) + (0) + (19) + (7) is -4.
344,Solve for x: (2)*x = (23),x = 23/2
345,(14) * (-1),The result of (14) * (-1) is -14.
346,Solve for x: x*x = (100),x = -10 or x = 10
347,Solve for x: x + (18) = (-9),x = -27
348,(0) + (21) + (18) + (17) + (22),The result of (0) + (21) + (18) + (17) + (22) is 78.
349,(16) / (2),The result of (16) / (2) is 8.0.
350,Solve for x: (9)*x + (-6) = (-5),x = 1/9
351,Solve for x: (8)*x + (19) = (64),x = 45/8
352,Solve for x: x*x = (1),x = -1 or x = 1
353,Solve for x: x*x = (100),x = -10 or x = 10
354,(7) * (13),The result of (7) * (13) is 91.
355,Solve for x: x*x = (1),x = -1 or x = 1
356,Solve for x: x*x = (36),x = -6 or x = 6
357,Solve for x: (7)*x + (-9) = (12),x = 3
358,(17) + (28) + (-5) + (2),The result of (17) + (28) + (-5) + (2) is 42.
359,Solve for x: (20)*x = (65),x = 13/4
360,Solve for x: (7)*x + (-17) = (68),x = 85/7
361,Solve for x: x*x = (25),x = -5 or x = 5
362,(28) / (12),The result of (28) / (12) is 2.3333333333333335.
363,(18) / (9),The result of (18) / (9) is 2.0.
364,(21) + (-30) + (22) + (-11),The result of (21) + (-30) + (22) + (-11) is 2.
365,(10) + (30),The result of (10) + (30) is 40.
366,Solve for x: (8)*x = (65),x = 65/8
367,(38) / (48),The result of (38) / (48) is 0.7916666666666666.
368,Solve for x: (7)*x = (-40),x = -40/7
369,Solve for x: (1)*x + (-15) = (64),x = 79
370,(36) / (1),The result of (36) / (1) is 36.0.
371,(41) + (40),The result of (41) + (40) is 81.
372,(14) + (17) + (-24) + (15) + (-16),The result of (14) + (17) + (-24) + (15) + (-16) is 6.
373,Solve for x: (13)*x = (9),x = 9/13
